Name,Varietal,Region,Price,Dosage,Online_Rating,Total_Ratings,sommelier_ratings
Chateau Tanunda Grand Barossa Cabernet Sauvignon 2018,Cabernet Sauvignon,"Barossa Valley, Barossa, South Australia, Australia",18,750 ML,0.0,0 Ratings,
Castoro Cellars Whale Rock Vineyard Pinot Noir 2020,Pinot Noir,"Paso Robles, Central Coast, California",26 99,750 ML,0.0,0 Ratings,
Fattoria La Fiorita Brunello di Montalcino 2016,Sangiovese,"Montalcino, Tuscany, Italy",64 99,750 ML,0.0,0 Ratings,WE 95 RP 94 JS 94 JD 91
De Wetshof Bon Vallon Chardonnay 2020,Chardonnay,"Robertson, South Africa",23 99,750 ML,4.0,8 Ratings,WS 91
Frescobaldi Castiglioni Giramonte 2012,Tuscan Blends,"Tuscany, Italy",151 99,750 ML,4.9,25 Ratings,WW 93
Trefethen Estate Chardonnay 2019,Chardonnay,"Oak Knoll District, Napa Valley, California",38,750 ML,4.2,27 Ratings,WW 92
Monte Rio Old Vine Zinfandel 2020,Zinfandel,"Lodi, California",24 99,750 ML,0.0,0 Ratings,
M. Chapoutier Chateauneuf-du-Pape Barbe Rac 2007,Grenache,"Chateauneuf-du-Pape, Rhone, France",139 97,750 ML,0.0,0 Ratings,
Lewis Cellars Cabernet Sauvignon 2019,Cabernet Sauvignon,"Napa Valley, California",99 99,750 ML,0.0,0 Ratings,JS 92
Domaine de la Janasse Chateauneuf-du-Pape Cuvee Chaupin (1.5 Liter Magnum) 2018,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",199 99,1500 ML,0.0,0 Ratings,V 93
Apaltagua Costero Extra Brut,Non-Vintage Sparkling Wine,"San Antonio Valley (Chile), Chile",18 99,750 ML,3.8,9 Ratings,W & S 90
Old World Globe Cork Display,,,39 99,0 ML,0.0,0 Ratings,
Domaine Julien Cotes de Nuits Villages 2017,Pinot Noir,"Cote de Nuits, Cote d'Or, Burgundy, France",44 99,750 ML,0.0,0 Ratings,
Sun Goddess by Mary J Blige Set with Tasting Video,,,38 99,750 ML,0.0,0 Ratings,
Kevin Zraly's One Hour Wine Expert Tasting Kit,,,89 99,750 ML,0.0,0 Ratings,
Chateau Musar Lebanon Rouge 2015,Other Red Blends,Lebanon,63 99,750 ML,0.0,0 Ratings,
Terredora di Paolo Fiano di Avellino 2019,Fiano,"Campania, Italy",24 99,750 ML,3.3,24 Ratings,JS 93
Fleury Estate Winery Howell Mountain Cabernet Sauvignon 2010,Cabernet Sauvignon,"Howell Mountain, Napa Valley, California",149 97,750 ML,0.0,0 Ratings,
Clos LaChance Merlot 2017,Merlot,"Santa Clara Valley, San Francisco Bay, Central Coast, California",14 99,750 ML,0.0,0 Ratings,WW 89
Faiveley Chambertin Clos de Beze Grand Cru 2019,Pinot Noir,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",729 99,750 ML,0.0,0 Ratings,WS 96
Favia Cerro Sur Red 2012,Bordeaux Red Blends,"Napa Valley, California",189 97,750 ML,0.0,0 Ratings,
1000 Stories Bourbon Barrel Aged Zinfandel 2018,Zinfandel,California,19 99,750 ML,4.0,31 Ratings,
Gaia Santorini Wild Ferment Assyrtiko 2020,Assyrtiko,"Santorini, Greece",46 99,750 ML,0.0,0 Ratings,
Carnivor Cabernet Sauvignon 2019,Cabernet Sauvignon,California,11 99,750 ML,4.0,8 Ratings,
Sleight Of Hand Stoney Vine Vineyard Psychedelic Syrah 2019,Syrah/Shiraz,"Walla Walla Valley, Columbia Valley, Washington",75 99,750 ML,0.0,0 Ratings,JS 93
Glenelly Estate Reserve Chardonnay 2019,Chardonnay,South Africa,24 99,750 ML,0.0,0 Ratings,
Point Ormond Sauvignon Blanc 2018,Sauvignon Blanc,"Great Southern, Western Australia, Australia",15 99,750 ML,3.7,6 Ratings,
Hugel Gentil 2019,Other White Blends,"Alsace, France",15 99,750 ML,4.1,12 Ratings,JS 90
Abreu Vineyards Madrona Ranch 2008,Bordeaux Red Blends,"Napa Valley, California",459 97,750 ML,0.0,0 Ratings,RP 97
Ippolito Liber Pater 2019,Gaglioppo,"Calabria, Italy",15 99,750 ML,0.0,0 Ratings,
Anta de Cima Argilla Branco 2018,Other White Blends,"Alentejo, Portugal",18 99,750 ML,0.0,0 Ratings,
Franciscan Estate Sauvignon Blanc 2019,Sauvignon Blanc,California,13 99,750 ML,0.0,0 Ratings,
Venturini Baldini Marchese Manodori Lambrusco,Red Sparkling Wine,"Emilia-Romagna, Italy",19,750 ML,3.9,35 Ratings,SJ 93 JS 90
Chateau Olivier (Futures Pre-Sale) 2020,Bordeaux Red Blends,"Pessac-Leognan, Bordeaux, France",33 97,750 ML,0.0,0 Ratings,WE 95 JS 93 RP 93 D 93 JD 92
Stuhlmuller Vineyards Alexander Valley Cabernet Sauvignon 2018,Cabernet Sauvignon,"Alexander Valley, Sonoma County, California",41 99,750 ML,4.5,5 Ratings,
Terrazas de los Andes Reserva Torrontes 2020,Torrontes,"Salta, Argentina",14 99,750 ML,0.0,0 Ratings,
Spear Estate Syrah 2018,Syrah/Shiraz,"Sta. Rita Hills, Santa Barbara, Central Coast, California",49 99,750 ML,0.0,0 Ratings,WE 94 JD 93
Ancien Wines Mink Vineyard Pinot Noir 2018,Pinot Noir,"Coombsville, Napa Valley, California",54 99,750 ML,0.0,0 Ratings,RP 94
Ernest Vineyards The Wrangler Pinot Noir 2017,Pinot Noir,"Petaluma Gap, Sonoma Coast, Sonoma County, California",62 99,750 ML,0.0,0 Ratings,JS 93
Root 1 Pinot Noir 2018,Pinot Noir,"Casablanca Valley, Chile",11 99,750 ML,3.7,21 Ratings,
Coelho Winery Estate White Pinot Noir 2019,Other White Wine,"McMinnville, Willamette Valley, Oregon",30 99,750 ML,0.0,0 Ratings,
House Wine Steak House Cabernet Sauvignon 2018,Cabernet Sauvignon,"Columbia Valley, Washington",8 99,750 ML,3.9,5 Ratings,
Robert Weil Rheingau Riesling Kabinett 2020,Riesling,"Rheingau, Germany",34 99,750 ML,0.0,0 Ratings,JS 93
Pina Napa Valley Firehouse Vineyard Cabernet Sauvignon 2010,Cabernet Sauvignon,"Rutherford, Napa Valley, California",109 97,750 ML,0.0,0 Ratings,
Easton Amador County Zinfandel 2016,Zinfandel,"Amador, Sierra Foothills, California",25,750 ML,0.0,0 Ratings,WE 91 WS 90
Chateau de la Cree Santenay Blanc 2013,Chardonnay,"Santenay, Cote de Beaune, Cote d'Or, Burgundy, France",51 99,750 ML,0.0,0 Ratings,
Roots Run Deep The Ph.D. Cabernet Sauvignon 2016,Cabernet Sauvignon,"Howell Mountain, Napa Valley, California",149 99,750 ML,0.0,0 Ratings,W & S 90
"Carpene Malvolti ""1868"" Extra Dry Prosecco",Non-Vintage Sparkling Wine,"Prosecco, Italy",18 99,750 ML,0.0,0 Ratings,
Bodegas Ordonez – Toro Vatan Tinta de Toro 2018,Tempranillo,"Toro, Spain",45,750 ML,0.0,0 Ratings,JS 92
Selbach Oster Mosel Riesling Kabinett 2018,Riesling,"Mosel, Germany",24 99,750 ML,4.0,23 Ratings,
Josef Leitz Dragonstone Riesling 2020,Riesling,"Rheingau, Germany",18 99,750 ML,4.2,19 Ratings,JS 91
Arboleda Pinot Noir 2017,Pinot Noir,"Aconcagua Valley, Chile",24 99,750 ML,4.0,12 Ratings,JS 92 RP 91
Domaine Fontaine du Clos Vacqueyras 2018,Rhone Red Blends,"Vacqueyras, Rhone, France",26 99,750 ML,0.0,0 Ratings,
Husch La Ribera Vineyards Sauvignon Blanc 2021,Sauvignon Blanc,"Mendocino, California",16 99,750 ML,0.0,0 Ratings,
Domaine des Grosses Pierres Sancerre 2020,Sauvignon Blanc,"Sancerre, Loire, France",33 99,750 ML,0.0,0 Ratings,
Louis Bernard Cotes du Rhone Villages 2017,Rhone Red Blends,"Cotes du Rhone Villages, Rhone, France",13 99,750 ML,4.0,21 Ratings,WE 90 WW 90
Patrick Piuze Chablis Terroir de Courgis 2019,Chardonnay,"Chablis, Burgundy, France",36 99,750 ML,0.0,0 Ratings,RP 91
Bodegas Estefania Tilenus Joven Vendimia Mencia 2020,Mencia,"Bierzo, Spain",17 99,750 ML,0.0,0 Ratings,
Henri Bourgeois Sancerre La Cote des Monts Damnes (375ML half-bottle) 2020,Sauvignon Blanc,"Sancerre, Loire, France",26 99,375 ML,0.0,0 Ratings,JS 92
Casaloste Inversus 2015,Tuscan Blends,"Tuscany, Italy",59 99,750 ML,0.0,0 Ratings,JS 95 RP 90
Circus Bear Cote du Roussillon 2014,Rhone Red Blends,"Côtes du Roussillon, Roussillon, South of France, France",15 99,750 ML,0.0,0 Ratings,JD 89
Domaine du Vieux Lazaret Chateauneuf-du-Pape 2019,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",42 99,750 ML,4.6,6 Ratings,WS 93 JS 90
Chateau Ducru-Beaucaillou 2015,Bordeaux Red Blends,"St-Julien, Bordeaux, France",209 99,750 ML,4.5,7 Ratings,D 98 RP 97 WE 97 JS 97 WS 97 JD 96
Fontezoppa Verdicchio di Matelica 2020,Verdicchio,"Marche, Italy",19 99,750 ML,0.0,0 Ratings,
Summerland Santa Barbara Chardonnay 2020,Chardonnay,"Santa Barbara, Central Coast, California",21 99,750 ML,0.0,0 Ratings,
Duemani Suisassi Syrah 2016,Syrah/Shiraz,"Tuscany, Italy",208 99,750 ML,0.0,0 Ratings,V 96
Louis Latour Chateau Corton Grancey Grand Cru 2019,Pinot Noir,"Aloxe-Corton, Cote de Beaune, Cote d'Or, Burgundy, France",219 99,750 ML,5.0,15 Ratings,JS 95 WW 95 WS 94 RP 93
Stoller Dundee Hills Pinot Noir 2019,Pinot Noir,"Dundee Hills, Willamette Valley, Oregon",35,750 ML,3.9,36 Ratings,JS 94 V 91
Le Vigne Winery Paso Robles Chardonnay 2018,Chardonnay,"Paso Robles, Central Coast, California",20,750 ML,0.0,0 Ratings,
Senorio de San Vicente Rioja 2016,Tempranillo,"Rioja, Spain",59 99,750 ML,0.0,0 Ratings,JD 95 JS 93 WS 92 W & S 91
Schrader Colesworthy Beckstoffer Las Piedras Cabernet Sauvignon (1.5 Liter Magnum) 2018,Cabernet Sauvignon,"St. Helena, Napa Valley, California",929 97,1500 ML,0.0,0 Ratings,JS 98 JD 98 WS 95
Jam Jar Sweet Red Blend 2019,Other Red Blends,South Africa,10 99,750 ML,4.1,16 Ratings,
Fess Parker Ashley's Vineyard Chardonnay 2018,Chardonnay,"Sta. Rita Hills, Santa Barbara, Central Coast, California",40,750 ML,0.0,0 Ratings,V 94 WE 93 W & S 92 JD 91 WS 89
Familia Torres Pazo das Bruxas Albarino 2020,Albarino,"Rias Baixas, Spain",19 99,750 ML,3.9,8 Ratings,
Lustau Oloroso Pata de Gallina J. Garcia Jarana (500ML),Sherry,"Jerez, Spain",32,500 ML,3.9,25 Ratings,RP 91 WS 91 W & S 91 D 91
Rhys Vineyards Alesia Alder Springs Vineyard Syrah 2011,Syrah/Shiraz,"Mendocino, California",49 99,750 ML,0.0,0 Ratings,RP 90
Shaya Habis Old Vines Verdejo 2018,Verdejo,"Rueda, Spain",31 99,750 ML,0.0,0 Ratings,WS 91
Gagnard Delagrange Chassagne Montrachet Blanc Premier Cru 2019,Chardonnay,"Chassagne-Montrachet, Cote de Beaune, Cote d'Or, Burgundy, France",99 99,750 ML,0.0,0 Ratings,
Hamilton Russell Pinot Noir 2019,Pinot Noir,"Walker Bay, South Africa",53,750 ML,4.0,30 Ratings,D 92 RP 90
Altocedro Reserva Malbec 2018,Malbec,"Mendoza, Argentina",33 99,750 ML,0.0,0 Ratings,WE 93
DiT Celler Selenita Tinto 2012,Other Red Blends,"Montsant, Spain",29 99,750 ML,0.0,0 Ratings,
Wolfberger Riesling 2020,Riesling,"Alsace, France",21 99,750 ML,0.0,0 Ratings,
Donati Family Vineyards Claret 2018,Bordeaux Red Blends,"Paso Robles, Central Coast, California",20 99,750 ML,0.0,0 Ratings,
Chateau Haut-Brisson 2019,,,27 97,750 ML,0.0,0 Ratings,JS 94 JD 94 D 91 RP 91
Arnaud Mortet Gevrey-Chambertin Lavaux St-Jacques Premier Cru 2018,Pinot Noir,"Gevrey-Chambertin, Cote de Nuits, Cote d'Or, Burgundy, France",299 99,750 ML,0.0,0 Ratings,RP 94 D 93 BH 93
No.1 Family Estate Rose,Sparkling Rosé,"Marlborough, New Zealand",36 99,750 ML,0.0,0 Ratings,RP 91
Broglia Gavi La Meirana 2019,Cortese,"Gavi, Piedmont, Italy",19 99,750 ML,3.9,10 Ratings,
Chateau Bellevue (Futures Pre-Sale) 2020,Bordeaux Red Blends,"St. Emilion, Bordeaux, France",47 97,750 ML,0.0,0 Ratings,V 95 JS 95 D 94 JD 94
Chateau Coupe Roses Minervois Cuvee Vignals 2017,Rhone Red Blends,"Minervois, Languedoc, South of France, France",24 99,750 ML,0.0,0 Ratings,
Sine Qua Non Jinete Bajo Vin de Paille Roussanne (375ML half-bottle) 2008,Roussanne,"Sta. Rita Hills, Santa Barbara, Central Coast, California",279 97,375 ML,0.0,0 Ratings,RP 96
Parusso Barolo Perarmando 2017,Nebbiolo,"Barolo, Piedmont, Italy",63 99,750 ML,0.0,0 Ratings,JS 96 RP 94
Contratto Vermouth Bianco,Vermouth,"Piedmont, Italy",26 99,750 ML,3.6,18 Ratings,
Moillard Nuits-Saint-Georges Pinot Noir 2017,Pinot Noir,"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",61 99,750 ML,0.0,0 Ratings,
Chateau de Marsannay Gevrey-Chambertin 2017,Pinot Noir,"Marsannay, Cote de Nuits, Cote d'Or, Burgundy, France",109 99,750 ML,0.0,0 Ratings,
Courbis Cornas La Sabarotte 2019,Syrah/Shiraz,"Cornas, Rhone, France",99 99,750 ML,0.0,0 Ratings,V 96 WS 95 RP 94
Bruno Giacosa Barbaresco Asili 2017,Nebbiolo,"Barbaresco, Piedmont, Italy",199 99,750 ML,4.9,22 Ratings,JS 97 D 91
Escalada do Sil by Alberto Orte 2018,Other Red Blends,"Valdeorras, Spain",52 99,750 ML,0.0,0 Ratings,
Black Cabra Chardonnay 2021,Chardonnay,"Mendoza, Argentina",13 99,750 ML,0.0,0 Ratings,
Domaine Chasselay Je t'aime mais j'ai soif Gamay 2020,Gamay,"Beaujolais, Burgundy, France",26 99,750 ML,0.0,0 Ratings,
Bodegas Yuste Aurora Pedro Ximenez Sherry (500ML),Sherry,"Jerez, Spain",18 99,500 ML,3.5,7 Ratings,WS 91 WW 91
Ronchi Barbaresco 2018,Nebbiolo,"Barbaresco, Piedmont, Italy",33 99,750 ML,0.0,0 Ratings,
La Chablisienne Chablis Vaillons Premier Cru 2018,Chardonnay,"Chablis, Burgundy, France",43 99,750 ML,0.0,0 Ratings,JM 92 BH 91
Mills Reef Elspeth Chardonnay 2014,Chardonnay,"Hawkes Bay, New Zealand",35 99,750 ML,0.0,0 Ratings,RP 91
LaLuca Prosecco,Non-Vintage Sparkling Wine,"Prosecco, Italy",14,750 ML,4.2,24 Ratings,
Domaine Henri Gouges Nuits-St-Georges Les Saint Georges Premier Cru 2018,Pinot Noir,"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",259 99,750 ML,0.0,0 Ratings,D 95 WS 93 BH 92
Sine Qua Non Profuga Grenache (1.5 Liter Magnum) 2018,Grenache,California,899 97,1500 ML,0.0,0 Ratings,JD 100 RP 99
Chateau Boswell Jacquelynn Cuvee Blanc (1.5 Liter Magnum) 2009,Bordeaux White Blends,"Sonoma County, California",115 97,1500 ML,0.0,0 Ratings,
Ballot-Millot Volnay Taillepieds Premier Cru 2017,Pinot Noir,"Volnay, Cote de Beaune, Cote d'Or, Burgundy, France",99 99,750 ML,0.0,0 Ratings,BH 92
Damien Coquelet Chenas 2018,Gamay,"Beaujolais, Burgundy, France",31 99,750 ML,0.0,0 Ratings,
Ernest Vineyards The Settler Pinot Noir 2018,Pinot Noir,"Sonoma Coast, Sonoma County, California",58 99,750 ML,0.0,0 Ratings,RP 91
Guinigi Pinot Grigio 2020,Pinot Gris/Grigio,"Veneto, Italy",13 99,750 ML,0.0,0 Ratings,
Vina Eguia Reserva 2016,Tempranillo,"Rioja, Spain",17 99,750 ML,0.0,0 Ratings,
Val di Suga Brunello di Montalcino 2016,Sangiovese,"Montalcino, Tuscany, Italy",69 99,750 ML,0.0,0 Ratings,JD 94 JS 94 WS 93 D 91
Domaine Lafond Roc-Epine Chateauneuf-du-Pape 2019,Rhone Red Blends,"Chateauneuf-du-Pape, Rhone, France",57 99,750 ML,0.0,0 Ratings,JD 92 D 91
Stoller Willamette Valley Pinot Noir 2020,Pinot Noir,"Dundee Hills, Willamette Valley, Oregon",20 99,750 ML,4.2,9 Ratings,
Mazzei Badiola Toscana 2018,Tuscan Blends,"Tuscany, Italy",15 99,750 ML,4.2,10 Ratings,WS 89
Citra Trebbiano d'Abruzzo 2019,Trebbiano,"Abruzzo, Italy",9 99,750 ML,0.0,0 Ratings,
Dante Merlot 2019,Merlot,California,11 99,750 ML,0.0,0 Ratings,
Domaine Meo-Camuzet Nuits-St-Georges Aux Murgers Premier Cru 2017,Pinot Noir,"Nuits-St-Georges, Cote de Nuits, Cote d'Or, Burgundy, France",244 99,750 ML,0.0,0 Ratings,RP 92 BH 92
Clos LaChance Cabernet Sauvignon 2019,Cabernet Sauvignon,"Central Coast, California",17 99,750 ML,0.0,0 Ratings,WW 90
Bibbiano Chianti Classico 2019,Sangiovese,"Chianti Classico, Chianti, Tuscany, Italy",23,750 ML,0.0,0 Ratings,WS 90
La Playa Estate Red Blend 2019,Other Red Blends,"Colchagua Valley, Rapel Valley, Chile",8 99,750 ML,4.1,12 Ratings,JS 89 WW 89
DeLoach Heritage Reserve Pinot Noir 2020,Pinot Noir,California,11 99,750 ML,4.1,9 Ratings,
The Prisoner Wine Company The Prisoner Red Blend (1.5 Liter Magnum) 2019,Other Red Blends,California,108 99,1500 ML,3.6,10 Ratings,WW 93
Metaphora Cabernet Sauvignon 2012,Cabernet Sauvignon,"Atlas Peak, Napa Valley, California",159 99,750 ML,0.0,0 Ratings,
Grand Napa Vineyards Reserve Cabernet Sauvignon 2018,Cabernet Sauvignon,"Napa Valley, California",109 97,750 ML,0.0,0 Ratings,JD 94 JS 92 W & S 92
Argiano Solengo 2018,Tuscan Blends,"Tuscany, Italy",90,750 ML,0.0,0 Ratings,JS 96 WS 93 RP 93
Domaine de la Mordoree Tavel La Dame Rousse Rose 2020,Rosé,"Tavel, Rhone, France",35 99,750 ML,0.0,0 Ratings,V 93 RP 92 JD 91
Mongeard-Mugneret Echezeaux Grand Cru 2002,Pinot Noir,"Flagey-Echezeaux, Cote de Nuits, Cote d'Or, Burgundy, France",339 97,750 ML,0.0,0 Ratings,WS 92
Langmeil Three Gardens SMG 2018,Rhone Red Blends,"Barossa Valley, Barossa, South Australia, Australia",25,750 ML,0.0,0 Ratings,JS 90
Ronchi di Cialla Ribolla Gialla 2020,Ribolla Gialla,"Colli Orientali del Friuli, Friuli-Venezia Giulia, Italy",23 99,750 ML,4.1,5 Ratings,
Greywacke Chardonnay 2016,Chardonnay,"Marlborough, New Zealand",38 99,750 ML,0.0,0 Ratings,JS 94 D 93 V 93 RP 92 WS 90
Maison Noir OPP Pinot Noir 2020,Pinot Noir,"Willamette Valley, Oregon",22 99,750 ML,4.2,13 Ratings,
Elk Cove Pinot Blanc 2021,Pinot Blanc,"Willamette Valley, Oregon",21 99,750 ML,0.0,0 Ratings,
Di Bruno Pinot Grigio 2021,Pinot Gris/Grigio,"Santa Barbara, Central Coast, California",34,750 ML,0.0,0 Ratings,
Siro Pacenti Brunello di Montalcino Riserva (1.5 Liter Magnum) 2015,Sangiovese,"Montalcino, Tuscany, Italy",619 99,1500 ML,0.0,0 Ratings,JD 95 RP 94
Liberty School Cabernet Sauvignon 2020,Cabernet Sauvignon,"Paso Robles, Central Coast, California",16 99,750 ML,0.0,0 Ratings,
Cupcake Vineyards Merlot 2019,Merlot,"Central Coast, California",9 99,750 ML,0.0,0 Ratings,
Allure Infusions Strawberry Moscato,Non-Vintage Sparkling Wine,California,14 99,750 ML,0.0,0 Ratings,
Ladies' Full Zip Hoodie in Black Heather – Small,,,59 99,0 ML,0.0,0 Ratings,
San Salvatore Ceraso Paestum Aglianico 2018,Aglianico,"Campania, Italy",23 99,750 ML,3.8,6 Ratings,JS 91
Metaphora Sauvignon Blanc 2016,Sauvignon Blanc,California,39 99,750 ML,0.0,0 Ratings,
d'Arenberg The High Trellis Cabernet Sauvignon 2018,Cabernet Sauvignon,"McLaren Vale, South Australia, Australia",18 99,750 ML,0.0,0 Ratings,
Christophe Mignon Brut Rose ADN de Meunier,Sparkling Rosé,"Champagne, France",79 99,750 ML,0.0,0 Ratings,
Galil Mountain Winery Merlot (OK Kosher) 2019,Merlot,Israel,16 99,750 ML,0.0,0 Ratings,
Freeman Russian River Pinot Noir 2019,Pinot Noir,"Russian River, Sonoma County, California",44 99,750 ML,0.0,0 Ratings,RP 92
